id,investorName,investorType,city,country,sectors,stages,logoURL
67,Andreessen Horowitz,Venture Capital,Menlo Park,USA,"Blockchain, HRTech","Series A, Series B, Series C, Series D",https://pbs.twimg.com/profile_images/1359170208879968256/GrGmuXo0_400x400.png
70,Anges Quebec,Angel Group,Quebec,Canada,"AI, Analytics, BioTech, EdTech, FinTech, HealthTech, LegalTech, Platform, eCommerce","Pre-Seed, Seed, Series A",https://pbs.twimg.com/profile_images/1226990692670607360/G8RzO4Hk_400x400.png
71,ANIMO Ventures,Venture Capital,,USA,"Robotics, SaaS",Seed,https://pbs.twimg.com/profile_images/1182277610824519680/VDN4GGrV_400x400.jpg
72,Ankr,,San Francisco,USA,CryptoCurrency,,
73,Anthos Capital,Venture Capital,Menlo Park,USA,SaaS,"Series A, Series B, Series C",
74,Aphelion Capital,,Mill Valley,USA,HealthTech,Series A,https://pbs.twimg.com/profile_images/775845742485250048/36z3DRf5_400x400.jpg
75,AQC Capital,,Quebec,Canada,"AI, Analytics, BioTech, HealthTech, Platform","Pre-Seed, Seed",
76,Arati Sharma,,Toronto,Canada,EdTech,Seed,
77,ArcTern Ventures,Venture Capital,Toronto,Canada,"AgTech, GreenTech, PropertyTech, SaaS","Series A, Series B",https://pbs.twimg.com/profile_images/1284118773650399233/ijEpxQvQ_400x400.png
78,Arthur Ventures,Venture Capital,Minneapolis,USA,LegalTech,Series A,https://pbs.twimg.com/profile_images/552192335950254080/BoycFzDE_400x400.jpeg
79,Artiman Ventures,Venture Capital,Palo Alto,USA,SaaS,"Series B, Series C",https://pbs.twimg.com/profile_images/521767745629593602/bJa8m3dk_400x400.jpeg
80,Ashton Kutcher,,Los Angeles,USA,Blockchain,Series C,https://pbs.twimg.com/profile_images/1422734984864059405/4KVwkf2e_400x400.jpg
81,ASU ScaleU,Accelerator,Tempe,USA,EdTech,Seed,
82,ATB Financial,,Edmonton,Canada,LegalTech,Series A,
83,Athlete Tech Group,,Toronto,Canada,MarTech,Seed,
84,Atrium Capital,Venture Capital,Menlo Park,USA,EdTech,Seed,
85,AU21 Capital,Venture Capital,San Francisco,USA,Blockchain,Pre-Seed,
86,August Capital,Venture Capital,Menlo Park,USA,Media,Seed,https://pbs.twimg.com/profile_images/1019304710568726528/1ONn9Aj8_400x400.jpg
87,Aurora,,Mountain View,USA,AutoTech,Series A,
88,Autodesk,,San Rafael,USA,SaaS,,
89,Autonomous Vehicle Innovation Network (AVIN),,,Canada,iOT,"Grant, Seed",
90,AVALANCHE,,,Singapore,CryptoCurrency,,
91,Axis Capital Ventures Corp.,"Micro VC, Venture Capital",,Canada,TravelTech,Seed,
92,Backbone Angels,Angel Group,Toronto,Canada,AI,Seed,https://pbs.twimg.com/profile_images/1368625840972591109/wiOsR5RH_400x400.jpg
93,Badhouse Ventures,"Accelerator, Incubator, Micro VC, Venture Capital",Vancouver,Canada,"LogisticsTech, SaaS","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1168672206701776896/UaVxKg9A_400x400.jpg
94,Bain Capital Ventures,"Corporate Venture Capital, Venture Capital",San Francisco,USA,"Hardware, InsurTech, PropertyTech, Robotics, SaaS","Series A, Series B",
95,Balaji Srinivasan,,San Francisco Bay Area,USA,BlockChain,Seed,
96,Bank of Montreal (BMO),,Toronto,Canada,FinTech,Series C,
97,Banneker Partners,,San Francisco,USA,FinTech,Series A,
98,Barclays Accelerator,,,USA,AI,Pre-Seed,
99,Base10 Partners,Venture Capital,San Francisco,USA,HealthTech,Series A,
100,BaseCamp Equity Partners,,Boulder,USA,Marketplace,Series A,
101,Battery Ventures,Venture Capital,Boston,USA,AI,Series A,
102,Baxter International,,Deerfield,USA,HealthTech,Series B,
103,BCF Ventures,"Corporate Venture Capital, Micro VC, Venture Capital",Montréal,Canada,"Analytics, HealthTech, LegalTech","Seed, Series A",
104,BDC Capital,Venture Capital,Montréal,Canada,"3DTech, AI, AgTech, AgrTech, Analytics, AutoTech, BioTech, Biometrics, CleanTech, Consumer, CyberSecurity, Data, EdTech, EntertainmentTech, FinTech, Games, GreenTech, HRTech, Hardware, HealthTech, Marketplace, Misc, Networks, Platform, PropertyTech, Robotics, Robotis, SaaS, TransportationTech, TravelTech, eCommerce","Pre-Seed, Seed, Series A, Series B, Series C, Series D, Series E",https://pbs.twimg.com/profile_images/739774595499102208/VeSXbvND_400x400.jpg
105,Bee Partners,"Micro VC, Venture Capital",San Francisco,USA,eCommerce,Series B,
106,Benevolent Capital,,Pacific Palisades,USA,AutoTech,Series A,
107,Bertrand Cesvet,,Montréal,Canada,AI,Seed,
108,Bessemer Venture Partners,Venture Capital,Redwood City,USA,"AI, Data, DevTech, SaaS","Seed, Series A, Series B, Series C",
109,Better Tomorrow Ventures,Venture Capital,San Francisco,USA,InsurTech,Series A,
110,Bettor Capital,Venture Capital,,USA,Media,Seed,
111,Bezos Expeditions,,Mercer Island,USA,CleanTech,Series E,
112,Binance,,Valletta,Malta,CryptoCurrency,,
113,Biotech Insight Ventures,,Pebble Beach,USA,Marketplace,Series C,
114,Birchmere Ventures,,Pittsburgh,USA,"EdTech, eCommerce","Seed, Series B, Series C",
115,Bixin Ventures,Venture Capital,,USA,Blockchain,Seed,
116,Blockchain Founders Fund,Venture Capital,Singapore,Singapore,Platform,Pre-Seed,
117,Blockchange Ventures,Venture Capital,New York,USA,Blockchain,Series B,
118,BlockTower Capital,,New York,USA,Blockchain,Series B,
119,Bloom Burton & Co.,Venture Capital,Toronto,Canada,HealthTech,Series A,
120,Blue Cloud Ventures,Venture Capital,New York,USA,"EdTech, SaaS","Series C, Series D",
121,Bluesky Equities,,Calgary,Canada,"LegalTech, SaaS, SportsTech, iOT","Seed, Series A",
122,Blumberg Capital,Venture Capital,San Francisco,USA,"Cybersecurity, DevTech, FinTech, SaaS","Seed, Series C, Series D",
124,Boldstart Ventures,"Micro VC, Venture Capital",New York,USA,AI,"Series A, Series B",
125,Bolt Ventures,Venture Capital,São Paulo,Brazil,Blockchain,Series C,
126,Boost VC,Accelerator,San Mateo,USA,Quantum,Seed,
127,BoxGroup,"Micro VC, Venture Capital",New York,USA,AI,"Series A, Series B",
128,BoxOne Ventures,,Montréal,Canada,"AgTech, BioTech, Platform","Pre-Seed, Seed, Series A",
129,BP Ventures,,Palo Alto,USA,"Analytics, CleanTech",,
130,Braemar Energy Ventures,Venture Capital,New York,USA,CleanTech,Series E,
131,Brandon Chu,,Toronto,Canada,EdTech,Seed,
132,Brandon Deer,,Boston,USA,AI,Series A,
133,BrandProject,Venture Capital,Toronto,Canada,"HealthTech, Marketplace","Series A, Series B",
134,Brett Wilson,,Calgary,Canada,AdTech,Seed,
135,Breyer Capital,,Menlo Park,USA,FinTech,Series B,
136,Brian Thomas,Angel,,,Analytics,Seed,
137,Brick & Mortar Ventures,,San Francisco,USA,SaaS,Series A,
138,Brightspark Ventures,Venture Capital,Montréal,Canada,"3DTech, AgTech, BioTech, CleanTech, CyberSecurity, EdTech, MarTech, SaaS","Pre-Seed, Seed, Series A, Series B",
139,Bryan Rosenblatt,,New York,USA,Blockchain,Series B,
140,Bryker,,Toronto,Canada,SaaS,Seed,
141,Buckley Ventures,Venture Capital,San Francisco,USA,AI,Seed,
142,Builders VC,"Private Equity Firm, Venture Capital",San Francisco,USA,"AgTech, Platform, SaaS","Seed, Series A",
143,Bullpen Capital,Venture Capital,Menlo Park,USA,"Data, EdTech, SaaS","Seed, Series B, Series C",
144,Burst Capital,Venture Capital,Palo Alto,USA,AI,"Series B, Series C",
145,Business Growth Fund,"Private Equity Firm, Venture Capital",London,United Kingdom,Analytics,,
146,BVF Partners,,San Francisco,USA,BioTech,Series A,
147,Caisse de Depot et Placement du Quebec,,Montreal,Canada,"AI, CyberSecurity, HealthTech","Series B, Series C, Series D",
148,Calvin Ayre,Angel,Antigua and Barbuda,,Marketplace,,
149,Cameron Ventures,"Corporate Venture Capital, Family Investment Office, Venture Capital",,USA,InsurTech,Series A,
150,Canaan Partners,Venture Capital,Menlo Park,USA,"Marketplace, SpaceTech","Series A, Series B",
151,Canada Pension Plan Investment Board,,Toronto,Canada,"AI, BioTech, FinTech, SaaS",Series B,
152,Canadian Business Growth Fund,Venture Capital,Toronto,Canada,"Analytics, EdTech, FinTech, HRTech, Marketplace, SaaS, eCommerce","Series A, Series B, Series C",
153,Canadian Shield Capital,,Toronto,Canada,CleanTech,Series A,
154,Candou Ventures,Venture Capital,Palo Alto,USA,SaaS,Series C,
155,CapHorn Invest,Venture Capital,Paris,France,MarTech,Series A,
156,Capital One,,Mclean,USA,TravelTech,Series F,
157,Capital6 Eagle,Venture Capital,,USA,BlockChain,Seed,
158,CapitalT,,Amsterdam,The Netherlands,SaaS,Pre-Seed,
159,Capricorn Investment Group,,Palo Alto,USA,AI,Series B,
160,Carbon Direct,,New York,USA,CleanTech,Series D,
161,Casdin Capital,,New York,USA,BioTech,Series A,
162,Castle Island Ventures,,Cambridge,USA,Platform,Pre-Seed,
163,Celtic House Asia Partners,Venture Capital,Hangzhou,China,PropertyTech,Seed,
164,Celtic House Venture Partners,Venture Capital,Toronto,Canada,"Consumer, PropertyTech, SaaS","Seed, Series B",
165,Centre for Commercialization of Regenerative Medicine,,,Canada,BioTech,Series A,
166,Centre for Drug Research and Development,,Vancouver,Canada,BioTech,,
167,CFV Ventures,,Charlotte,USA,FinTech,Pre-Seed,
168,Chain Capital,Venture Capital,Shanghai,China,FinTech,Seed,
169,Charlie Songhurst,,Greater Seattle Area,USA,"LogisticsTech, MarTech, SaaS",Seed,
170,Chart Industries,,Ohio City,USA,CleanTech,Series D,
171,Cherif Habib,,Montréal,Canada,FinTech,Seed,
172,Chevron Technology Ventures,"Corporate Venture Capital, Venture Capital",Houston,USA,CleanTech,Series D,
173,Chicago ArchAngels,,Chicago,USA,eCommerce,Pre-Seed,
174,China Canada Angel Alliance,Angel Group,,Canada,AI,Seed,
175,Chorus One,,Rockville,USA,CryptoCurrency,,
176,Christian Martinez,Angel,United States,,FinTech,Series C,
177,Christian Sullivan,,New York,USA,eCommerce,Series A,
178,Chrysalix Venture Capital,Venture Capital,Vancouver,Canada,"Analytics, BioTech, CleanTech","Seed, Series A, Series D, Series E",
179,CI Financial,,Toronto,Canada,FinTech,Series A,
181,Citi Ventures,"Corporate Venture Capital, Venture Capital",San Francisco,USA,"FinTech, SaaS, TravelTech, eCommerce","Series A, Series C, Series D, Series F",
182,Claridge,,Montréal,Canada,"Cybersecurity, eCommerce",Series C,
183,Clocktower Technology Ventures,"Micro VC, Venture Capital",Santa Monica,USA,"FinTech, InsurTech","Series A, Series B",
184,CMS Holdings,,,USA,Blockchain,"Pre-Seed, Seed",
185,CMT Digital Ventures,Venture Capital,Chicago,USA,"Blockchain, FinTech","Seed, Series A, Series B",
186,Coatue,,New York,USA,"Blockchain, Robotics","Series B, Series C, Series D",
187,Codename Ventures,,Boston,USA,SaaS,Seed,
188,Coelius Capital,,San Francisco,USA,Consumer,Pre-Seed,
189,Coinbase Ventures,,San Francisco,USA,"Blockchain, CryptoCurrency, FinTech","Seed, Series A, Series B",
190,CoinFund,,Brooklyn,USA,FinTech,Series A,
191,Coingeek,,Montreal,Canada,Marketplace,,
192,CoinShares,"Hedge Fund, Private Equity Firm, Venture Capital",London,United Kingdom,CryptoCurrency,Seed,
193,Columbus Capital,"Private Equity Firm, Venture Capital",Freeport,Bahamas,RetailTech,Seed,
194,Comcast Ventures,"Corporate Venture Capital, Venture Capital",San Francisco,USA,Robotics,Series B,
195,Compound,Venture Capital,New York,USA,BlockChain,Seed,
196,Conconi Growth Partners,Venture Capital,Vancouver,Canada,"3DTech, FinTech, LegalTech, Marketplace, TravelTech","Seed, Series A",
197,Connecticut Innovations,,Rocky Hill,USA,"Analytics, Biometrics, HealthTech","Pre-Seed, Series B",
198,ConsenSys,,Zug,Switzerland,"Blockchain, FinTech","Pre-Seed, Seed",
199,Construct Capital,Venture Capital,Washington,USA,iOT,Seed,
200,Contour Venture Partners,"Micro VC, Venture Capital",New York,USA,FinTech,Series C,
201,Converge,Venture Capital,Cambridge,USA,"MarTech, eCommerce",Seed,
202,Cooley,,Palo Alto,USA,FinTech,Series A,
203,Corbin Kempenaar,Angel,BC,Canada,eCommerce,Pre-Seed,
204,Costanoa Ventures,Venture Capital,Palo Alto,USA,SpaceTech,Series B,
205,CQDM,,Montreal,Canada,BioTech,"Seed, Series A",
206,CR Capital Management,Venture Capital,Beijing,China,BioTech,Series A,
207,Craig Miller,,Toronto,Canada,Platform,Seed,
209,Creative Ventures,Venture Capital,San Francisco,USA,SaaS,Series A,
210,Crédit Mutuel Equity,,Paris,France,"AI, FinTech, ioT",,
211,Crest Rock Partners,,Denver,USA,MarTech,,
212,Cristofoli Contracting,,,Canada,CryptoCurrency,Seed,
213,Crosslink Capital,Venture Capital,San Francisco,USA,"AI, HealthTech",Series A,
214,Curtis Christophersen,Angel,,,MarTech,Seed,
215,Cyber Mentor Fund,Venture Capital,San Mateo,USA,CyberSecurity,"Series A, Series B",
216,Cycle Capital,,Montréal,Canada,"PropertyTech, TransportationTech","Series A, Series B",
217,D64 Ventures,Venture Capital,,Canada,Cryptocurrency,,
218,Daniel Debow,,Toronto,Canada,AI,Seed,
219,Daniel Dines,,Dover,USA,AI,Series A,
220,Darrell Kopke,,Vancouver,Canada,FitnessTech,Seed,
221,Darrow Holdings,,,Canada,FinTech,Seed,
222,Dash40 Ventures,"Micro VC, Venture Capital",Toronto,Canada,"FinTech, SaaS",Seed,
223,David Hahn,,New York,USA,SaaS,Seed,
224,David Yaffe,,New York,USA,SaaS,Seed,
225,Dcode,"Accelerator, Venture Capital",Washington,USA,CyberSecurity,Series B,
226,Dean Bakes,Angel,,,eCommerce,Series A,
227,Decheng Capital,Venture Capital,Menlo Park,USA,healthTech,Series A,
228,Decibel Partners,Venture Capital,Palo Alto,USA,Cybersecurity,Series B,
229,Deepcore,,Tokyo,Japan,3DTech,Seed,
230,Deerfield,,,USA,HealthTech,Series A,
231,Deerfield Management,Venture Capital,New York,USA,HealthTech,Series A,
232,Defiance Capital,Venture Capital,Singapore,Singapore,"Blockchain, FinTech","Seed, Series A",
233,Delphi Ventures,Venture Capital,San Mateo,USA,CryptoCurrency,,
234,Derrick Favors,Angel,,,MarTech,Seed,
235,Derrick Hunter,,Calgary,Canada,FinTech,,
236,Desjardins Capital,,Quebec,Canada,"3DTech, AI, CyberSecurity, FinTech, HealthTech, InsurTech, LegalTech, MarTech, Marketplace, PropertyTech, SaaS, Analytics","Seed, Series A, Series B, Series C",
239,Devin McCourty,Angel,,,Blockchain,Series C,
240,Diagram Ventures,"Micro VC, Venture Capital",Montréal,Canada,"FinTech, InsurTech, Platform, SaaS","Seed, Series A, Series B",
241,Differential Ventures,Venture Capital,New York,USA,"AI, CyberSecurity, EdTech, Quantum","Pre-Seed, Seed",
242,Digital Currency Group,Venture Capital,New York,USA,Blockchain,Seed,
243,Digital Technology Supercluster,,Vancouver,Canada,"FoodTech, Networks",Seed,
244,Disruption Ventures,Venture Capital,Toronto,Canada,SaaS,Seed,
245,Disruptive Technology Advisers,"Investment Bank, Venture Capital",Los Angeles,USA,CleanTech,Series E,
246,Distributed Global,Venture Capital,Los Angeles,USA,"Blockchain, FinTech","Series A, Series B",
247,District Ventures Capital,Venture Capital,Calgary,Canada,"FinTech, eCommerce",Series A,
248,Divergence Ventures,Venture Capital,,USA,Blockchain,"Pre-Seed, Series A",
249,DK Metcalf,Angel,,,Blockchain,Series C,
250,DLF Group,,,India,CleanTech,Series E,
251,DMZ,"Accelerator, Incubator",Toronto,Canada,"AI, AdTech, EdTech, HealthTech, PropertyTech, SaaS, eCommerce","Pre-Seed, Seed",
252,Domantas Sabonis,Angel,,,Blockchain,Series C,
253,Draper University Ventures,Venture Capital,San Mateo,USA,AgTech,Seed,
254,Dreamers VC,Venture Capital,Los Angeles,USA,Blockchain,Series C,
255,Drew Green,,Vancouver,Canada,EdTech,Seed,
256,Drive Capital,Venture Capital,Columbus,USA,"AI, Data, FinTech, InsurTech, SaaS","Seed, Series B, Series C",
257,Dunamu & Partners,Venture Capital,Seoul,South Korea,FinTech,Series A,
258,E-Fund,,Vancouver,Canada,FinTech,Seed,
259,Eclipse Ventures,"Private Equity Firm, Venture Capital",Palo Alto,USA,"Hardware, Platform","Series B, Series C",
260,Ecofuel,Accelerator,Montréal,Canada,"AgTech, GreenTech, MarTech","Pre-Seed, Series A, Series B",
261,Ecofuel Fund,Venture Capital,,Canada,Marketplace,Seed,
262,EcoR1 Capital,"Private Equity Firm, Venture Capital",San Francisco,USA,BioTech,Series A,
263,EDC Capital,,,Canada,Marketplace,Series B,
264,Edison Partners,Venture Capital,Princeton,USA,"CyberSecurity, FinTech",,
265,Educational Testing Service (ETS),,Princeton,USA,SaaS,Series C,
266,EduLab Capital Partners,Venture Capital,Boston,USA,EdTech,Seed,
267,Elrond,,Sibiu,Romania,CryptoCurrency,,
268,Emanuel Pleitez,,Los Angeles,USA,SaaS,Seed,
269,Emergence,Venture Capital,San Mateo,USA,"EdTech, FinTech","Series B, Series C, Series D",
270,Emergent Medical Associates,,Manhattan Beach,USA,HealthTech,Seed,
271,Entangled Group,,San Francisco,USA,EdTech,Seed,
272,Entrée Capital,Venture Capital,London,United Kingdom,FinTech,Series A,
273,Entrepreneurs Fund,Venture Capital,London,United Kingdom,CleanTech,Series E,
274,Envestors,Angel Group,London,United Kingdom,FinTech,Series C,
275,EONXI,Venture Capital,Miami,USA,Blockchain,Series B,
276,Epic CG,,,Canada,Platform,Series C,
277,Epic Games,,Cary,USA,AI,Pre-Seed,
278,EPIC Ventures,Venture Capital,Salt Lake City,USA,FinTech,Series B,
279,Equitable Bank,Venture Capital,Toronto,Canada,FinTech,Series C,
280,Eric Kwan,,San Francisco,USA,AI,Pre-Seed,
281,Esas Ventures,Venture Capital,Istanbul,Turkey,HealthTech,Seed,
282,Esplanade Ventures,Venture Capital,Montréal,Canada,"AI, HealthTech","Seed, Series A",
283,Espresso Capital,,Toronto,Canada,"SaaS, eCommerce",Series B,
284,ETW,,,Canada,EdTech,Series C,
285,Even Odds Investments,,,Canada,Media,Seed,
286,Eversource Energy,,Hartford,USA,CleanTech,,
287,Evok Innovations,Venture Capital,Vancouver,Canada,"SaaS, iOT","Series A, Series B",
288,Excel Venture Management,Venture Capital,Boston,USA,HealthTech,Series B,
289,Expa,Accelerator,San Francisco,USA,"Cybersecurity, HRTech","Pre-Seed, Series B",
290,Expansion Venture Capital,"Micro VC, Venture Capital",New York,USA,iOT,Seed,
291,Export Development Canada,,Ottawa,Canada,"AI, Analytics, BioTech, CleanTech, Consumer, Hardware, HealthTech, MarTech, SaaS, agTech, eCommerce, iOT","Seed, Series A, Series B, Series C, Series D",
292,Extreme Venture Partners,"Accelerator, Venture Capital",Toronto,Canada,"Analytics, InsurTech","Seed, Series A",
293,F-Prime Capital,Venture Capital,Cambridge,USA,HealthTech,"Series A, Series B",
294,f7 Ventures,"Micro VC, Venture Capital",San Francisco,USA,HealthTech,Seed,
295,FACIT,Venture Capital,Toronto,Canada,BioTech,"Seed, Series B",
296,Factory LLC,Venture Capital,Bethlehem,USA,Marketplace,Series B,
297,Fair Ventures,,Toronto,Canada,Marketplace,Series A,
298,Farhan Thawar,,Toronto,Canada,"EdTech, Marketplace",Seed,
299,Fastbreak Ventures,Venture Capital,Toronto,Canada,"AI, FinTech",Seed,
300,FD7 Ventures,Venture Capital,,Dubai,FinTech,,
301,FedDev,,Waterloo,Canada,SaaS,,
302,Fei-Fei Li,,Stanford,USA,AutoTech,Series A,
303,Fenbushi Capital,"Micro VC, Venture Capital",Shanghai,China,Blockchain,Seed,
304,Fidelity,,,USA,"BioTech, Cryptocurrency, EdTech, FinTech, Platform, SaaS","Seed, Series A, Series C, Series D",
