id,companyName,ecosystemName,ecosystemSecondary,dateFounded,primaryTag,secondaryTag,latestRoundType,latestRoundDate,dateAcqusition,acquiringCompany,ipoDate,peDate,deadFlag,logoUrlCdn
53,AutoLeap,Toronto,,2019-01-01,SaaS,Automotive,Series B,2023-04-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/53.png
54,Autozen,British Columbia,,2020-01-01,SaaS,Marketplace,Seed,2022-06-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/54.png
55,Avidbots,Waterloo Region,,2014-01-01,Robotics,AI,Series C,2022-09-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/55.png
56,Aviron Interactive,Toronto,,2019-01-01,HealthTech,HealthTech,Series A,2022-02-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/56.png
57,Award Pool,Toronto,,2020-06-01,Platform,Cryptocurrency,Seed,2021-06-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/57.png
59,Axya,Quebec,Montreal,2019-02-28,Marketplace,Industrial Automation,Seed,2022-02-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/59.png
60,Aya Payments,Toronto,,2018-01-01,HealthTech,,Seed,2020-11-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/60.png
61,Ayogo Health,British Columbia,,2011-01-01,HealthTech,Pharmaceuticals,Series B,2020-05-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/61.png
62,helloDarwin,Quebec,Montreal,2017-01-01,Marketplace,,Seed,2020-09-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/62.png
63,Babbly,Toronto,,2018-12-01,AI,,Seed,2022-06-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/63.png
64,Battlefy,British Columbia,,2011-01-01,eSports,,Seed,2020-10-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/64.png
65,Battlesnake,British Columbia,,2018-01-01,Platform,Developer Platform,Seed,2021-09-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/65.png
67,BDATA Solutions,Toronto,,2020-01-01,CyberSecurity,Blockchain,Seed,2021-04-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/67.png
68,Beanworks,British Columbia,,2012-01-01,FinTech,,Series ?,2020-02-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/68.png
69,Beatdapp,British Columbia,,2018-01-01,SaaS,Blockchain,Series ?,2024-01-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/69.png
70,Beehivr,Quebec,Montreal,2013-01-01,MarTech,Sales,Seed,2022-06-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/70.png
71,Bench,British Columbia,,2012-01-01,FinTech,Accounting,Series C,2021-06-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/71.png
72,BenchSci,Toronto,,2015-01-01,HealthTech,AI,Series D,2023-05-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/72.png
73,Benevity,Alberta,Calgary,2008-01-01,SaaS,,Series ?,2021-02-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/73.png
74,Binary Stream,British Columbia,,1999-01-01,SaaS,ERP,Series ?,2019-08-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/74.png
75,BinSentry,Waterloo Region,,2017-01-01,AgTech,iOT,Series A,2020-09-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/75.png
76,Biolux Research,British Columbia,,0000-00-00,BioTech,GreenTech,Series A,2019-04-30,0000-00-00,,0000-00-00,0000-00-00,1,https://cdn.briefed.in/companies/76.png
77,BIOSA,Toronto,,2018-01-01,BioTech,Medical,Series ?,2020-06-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/77.png
78,BitcoinBlack,Toronto,,2021-01-01,FinTech,Bitcoin,Series ?,2021-03-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/78.png
79,BlackCart,Toronto,,2017-01-01,eCommerce,Mobile,Series A,2021-01-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/79.png
80,Bliinx,Quebec,Montreal,2019-09-01,SaaS,B2B,Pre-Seed,2020-05-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/80.png
81,BlockCerts Blockchain,British Columbia,,2016-01-01,FinTech,Mobile,Series A,2021-01-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/81.png
82,Blue J Legal,Toronto,,2015-04-21,LegalTech,SaaS,Series C,2024-12-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/82.png
83,Blue Lion Labs,Waterloo Region,,2018-04-17,AgTech,Biology,Seed,2020-01-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/83.png
84,Blueprint Software Systems,Toronto,,2004-01-01,SaaS,,Series D,2020-07-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/84.png
85,Boast.AI,British Columbia,,2017-01-01,FinTech,R&D,Series A,2020-12-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/85.png
86,Bold Therapeutics,British Columbia,,2012-04-18,BioTech,,Grant,2021-06-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/86.png
87,Boosted.ai,Toronto,,2017-02-01,FinTech,AI,Series ?,2024-11-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/87.png
88,Borrowell,Toronto,,2014-01-01,FinTech,AI,Series C,2021-02-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/88.png
89,BoxKnight,Quebec,Montreal,2016-01-01,LogisticsTech,eCommerce,Series ?,2020-12-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/89.png
90,BrainBox AI,Quebec,Montreal,2017-01-01,AI,,Series A,2022-07-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/90.png
91,Breaking Walls,Quebec,Montreal,2015-01-01,eSports,,Seed,2020-04-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/91.png
92,Breathe Life,Quebec,Montreal,2018-01-03,InsurTech,FinTech,Series A,2020-08-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/92.png
93,Bridgit,Waterloo Region,,2012-01-01,SaaS,PropertyTech,Series ?,2023-07-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/93.png
94,Bright Angel Therapeutics,Toronto,,2016-01-01,BioTech,BioTech,Seed,2020-12-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/94.png
95,Brim Financial,Toronto,,2015-01-01,FinTech,Banking,Series C,2024-04-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/95.png
96,Brink Bionics,Waterloo Region,,2018-01-01,eSports,AI,Seed,2020-09-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/96.png
97,Briza,Toronto,,2016-01-01,InsurTech,Insurance,Series A,2021-02-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/97.png
98,Bruush,British Columbia,,2018-01-01,HealthTech,eCommerce,Series A,2020-09-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/98.png
99,Budge Studios,Quebec,Montreal,2010-01-01,Games,Mobile,Series ?,2021-03-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/99.png
100,Buf,Toronto,,2020-01-01,DevTech,Developer APIs,Series A,2021-04-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/100.png
101,BuildDirect Technologies,British Columbia,,1999-10-01,eCommerce,,Series ?,2020-12-31,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/101.png
102,Busbud,Quebec,Montreal,2011-10-01,Marketplace,TravelTech,Series ?,2022-02-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/102.png
104,BuyBack Booth,Quebec,Montreal,2016-01-01,CleanTech,Recycling,Seed,2020-07-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/104.png
105,BuyProperly,Toronto,,2019-01-01,FinTech,Real Estate,Seed,2021-05-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/105.png
106,Byta,Alberta,Calgary,2015-01-01,AudioTech,Music,Seed,2020-08-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/106.png
107,CAARY Capital,Toronto,,2019-10-04,FinTech,Credit Cards,Equity Crowdfunding,2021-05-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/107.png
108,Calico,Toronto,,2020-01-01,Marketplace,LogisticsTech,Seed,2022-03-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/108.png
109,Canada Stablecorp,Toronto,,0000-00-00,Blockchain,,Seed,2021-02-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/109.png
110,Canalyst,British Columbia,,2015-01-01,FinTech,Analytics,Series C,2022-01-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/110.png
112,Canvass Analytics,Toronto,,2016-03-01,Analytics,,Series A,2022-08-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/112.png
113,Car Scanner,Toronto,,2018-01-01,AI,Automotive,Pre-Seed,2021-02-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/113.png
114,Carbon Engineering,British Columbia,,2009-01-01,CleanTech,Carbon,Series ?,2019-01-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/114.png
115,Casca,British Columbia,,2017-01-01,3DTech,,Series ?,2019-11-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/115.png
116,Cavelo,Waterloo Region,,2020-01-01,CyberSecurity,,Seed,2023-11-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/116.png
117,CELL AG TECH,Toronto,,2019-02-01,AgTech,BioTech,Series A,2021-02-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/117.png
118,Ceragen,Waterloo Region,,0000-00-00,AgTech,BioTech,Seed,2024-07-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/118.png
119,Certn,British Columbia,,2016-10-16,PropertyTech,Data,Series ?,2023-04-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/119.png
120,Chalk,Waterloo Region,,2012-01-01,EdTech,Analytics,Seed,2019-04-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/120.png
121,Channel Gate Technologies,British Columbia,,2004-01-01,eCommerce,,Series ?,2019-03-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/121.png
122,ChargeLab,Toronto,,2016-01-01,iOT,EV Tech,Series ?,2023-04-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/122.png
123,Charli AI,British Columbia,,2019-01-01,AI,Productivity Tools,Seed,2020-05-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/123.png
124,Chata,Alberta,Calgary,2017-01-01,Analytics,AI,Seed,2019-07-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/124.png
125,Checkfront,British Columbia,,2010-09-09,TravelTech,Cloud Computing,Series A,2020-03-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/125.png
126,Notch,Toronto,,2015-04-21,Marketplace,Mobile,Series ?,2023-01-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/126.png
128,Chrysalabs,Quebec,Montreal,2017-12-18,AgTech,,Series A,2023-05-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/128.png
129,Cinchy,Toronto,,2017-12-08,SaaS,,Series B,2022-10-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/129.png
130,Citylitics,Toronto,,2021-01-01,AI,Machine Learning,Series A,2022-03-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/130.png
131,CleanSlate UV,Toronto,,2014-06-27,HealthTech,,Series A,2020-04-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/131.png
132,Clearco,Toronto,,2015-10-01,FinTech,eCommerce,Series D,2023-10-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/132.png
133,Clearpath Robotics,Waterloo Region,,2009-01-01,Robotics,Simulation,Series C,2021-01-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/133.png
134,ClearVoxel,Waterloo Region,,2018-05-15,AI,HealthTech,Seed,2019-01-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/134.png
135,Clio,British Columbia,,2008-10-01,SaaS,CRM,Series F,2024-07-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/135.png
136,Clir Renewables,British Columbia,,2017-01-01,SaaS,CleanTech,Series B,2021-06-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/136.png
137,CloudDX,Waterloo Region,,0000-00-00,HealthTech,,Series ?,2021-01-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/137.png
138,Clutch,Toronto,,2016-01-01,Marketplace,Automotive,Series ?,2024-07-05,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/138.png
139,Cmd,British Columbia,,2016-01-01,CyberSecurity,B2B,Series B,2019-02-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/139.png
140,Cnergreen,Alberta,Calgary,2019-01-01,CleanTech,Energy Efficiency,Seed,2024-01-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/140.png
141,CodeGem,Waterloo Region,,2019-01-14,SaaS,,Pre-Seed,2021-02-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/141.png
142,CoinChange,Toronto,,2017-01-01,Cryptocurrency,Wealth Management,Seed,2021-03-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/142.png
143,CoinSmart,Toronto,,2018-01-01,Cryptocurrency,Financial Exchange,Seed,2021-03-05,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/143.png
144,Coinsquare,Toronto,,2014-01-01,FinTech,,Series ?,2021-02-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/144.png
145,Cold Bore Technology,Alberta,Calgary,2013-01-01,Analytics,,Series ?,2021-07-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/145.png
146,Commerce.js,British Columbia,,2017-05-25,eCommerce,,Seed,2020-01-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/146.png
147,CommerceBear,Toronto,,2017-01-01,eCommerce,,Seed,2022-12-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/147.png
148,Commit,British Columbia,,2019-03-15,Analytics,,Seed,2021-06-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/148.png
149,Communo,Alberta,Calgary,2017-01-01,AdTech,Advertising,Seed,2020-01-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/149.png
150,Communyco,Toronto,,2020-05-01,Social,Communities,Pre-Seed,2021-07-15,0000-00-00,,0000-00-00,0000-00-00,1,https://cdn.briefed.in/companies/150.png
151,Concentric Agriculture,Quebec,Montreal,2007-01-01,AgTech,,Series B,2020-03-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/151.png
152,Conexiom,British Columbia,,2005-01-01,FinTech,,Series ?,2020-07-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/152.png
153,Connect&GO,Quebec,Montreal,2012-01-01,Wearables,SaaS,Series A,2022-08-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/153.png
154,connectus,Alberta,Calgary,0000-00-00,iOT,SaaS,Seed,2020-08-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/154.png
155,Contxtful,Quebec,Montreal,2017-02-01,SaaS,,Seed,2020-01-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/155.png
156,CoPilot,British Columbia,,0000-00-00,FinTech,,Series ?,2019-06-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/156.png
157,CorVista Health,Toronto,,2012-01-01,HealthTech,Analytics,Series C,2021-03-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/157.png
159,Course Studio,British Columbia,,2020-01-01,EdTech,eLearning,Seed,2020-10-02,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/159.png
160,Cova Software,British Columbia,,0000-00-00,RetailTech,,Series ?,2020-09-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/160.png
161,Covalent,British Columbia,,2018-03-01,Blockchain,Data,Series ?,2024-06-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/161.png
162,Creative Protein Solutions,Alberta,Calgary,2017-01-01,AgTech,Agriculture,Seed,2020-04-25,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/162.png
164,CTO.ai,British Columbia,,2017-01-01,SaaS,,Seed,2019-11-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/164.png
165,Cuboh,British Columbia,,2017-01-01,SaaS,Restaurants,Seed,2020-02-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/165.png
166,Curatio,British Columbia,,2013-01-01,HealthTech,Mobile,Series A,2020-06-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/166.png
167,D-Wave Systems,British Columbia,,1999-01-01,Quantum,,Series ?,2020-04-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/167.png
168,d1g1t Inc.,Toronto,,2017-01-01,FinTech,Analytics,Series ?,2023-09-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/168.png
169,Daisy Intelligence,Toronto,,2003-01-01,AI,Enterprise Software,Series ?,2020-08-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/169.png
170,DalCor Pharmaceuticals,Quebec,Montreal,2015-01-01,BioTech,,Series D,2023-09-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/170.png
