id,companyId,companyName,headquarters,ecosystemName,ecosystemSecondary,primaryTag,leadInvestors,investors,roundType,date,amount,year,yearQuarter
71,341,LabsCubed,Kitchener,Waterloo Region,,Hardware,,,Seed,2019-06-17,200000,2019,2019 Q2
72,192,eChart Healthcare,British Columbia,British Columbia,,HealthTech,,,Seed,2019-06-17,800000,2019,2019 Q2
73,534,Rotoliptic Technologies,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-06-17,2800000,2019,2019 Q2
75,515,Recover Energy Services,Calgary,Alberta,Calgary,GreenTech,BDC Capital,BDC Capital,Series ?,2019-06-19,0,2019,2019 Q2
76,497,Procurify,Vancouver,British Columbia,,FinTech,Information Venture Partners,"HarbourVest Partners, Information Venture Partners, Kensington Capital Partners Limited, Manulife Financial, Runa Capital",Series B,2019-06-20,26538000,2019,2019 Q2
77,609,Svante,British Columbia,British Columbia,,CleanTech,,,Series C,2019-06-25,13269000,2019,2019 Q2
78,156,CoPilot,British Columbia,British Columbia,,FinTech,,,Series ?,2019-06-25,1326900,2019,2019 Q2
79,593,Stabilo Medical,Kitchener,Waterloo Region,,FitnessTech,Ontario Brain Institute,Ontario Brain Institute,Pre-Seed,2019-06-28,50000,2019,2019 Q2
80,595,Stacktronic,Waterloo Region,Waterloo Region,,CleanTech,,,Pre-Seed,2019-07-08,5000,2019,2019 Q3
81,124,Chata,Calgary,Alberta,Calgary,Analytics,,,Seed,2019-07-10,4500000,2019,2019 Q3
82,349,Leankor,Calgary,Alberta,Calgary,SaaS,,,Seed,2019-07-15,4000000,2019,2019 Q3
83,527,Rival Technologies,British Columbia,British Columbia,,MarTech,,The 51 Ventures,Series A,2019-07-16,8500000,2019,2019 Q3
84,697,Watfly,Waterloo Region,Waterloo Region,,LogisticsTech,Velocity,Velocity,Pre-Seed,2019-07-18,5000,2019,2019 Q3
86,254,FreshGrade,Kelowna,British Columbia,,EdTech,,,Series ?,2019-07-19,2000000,2019,2019 Q3
87,276,Headversity,Calgary,Alberta,Calgary,EdTech,,,Seed,2019-07-22,1000000,2019,2019 Q3
88,235,FISPAN,British Columbia,British Columbia,,FinTech,,,Series ?,2019-07-24,11278650,2019,2019 Q3
90,713,YOURIKA,Waterloo,Waterloo Region,,EdTech,,,Seed,2019-07-26,20000,2019,2019 Q3
91,69,Beatdapp,Vancouver,British Columbia,,SaaS,,,Series ?,2019-07-26,0,2019,2019 Q3
92,201,Eideticom,Calgary,Alberta,Calgary,SaaS,,,Seed,2019-07-29,0,2019,2019 Q3
93,52,ATTAbotics,Calgary,Alberta,Calgary,Robotics,"Coatue, Comcast Ventures, Honeywell","Coatue, Comcast Ventures, Forerunner Ventures, Honeywell, Werklund Capital",Series B,2019-07-30,33172500,2019,2019 Q3
95,298,Illusense,British Columbia,British Columbia,,AI,,,Series D,2019-08-01,250000,2019,2019 Q3
96,516,Reebee,Waterloo,Waterloo Region,,AdTech,,,Seed,2019-08-08,0,2019,2019 Q3
97,516,Reebee,Waterloo,Waterloo Region,,AdTech,,,Series ?,2019-08-09,120000,2019,2019 Q3
98,74,Binary Stream,Burnaby,British Columbia,,SaaS,,,Series ?,2019-08-09,1143000,2019,2019 Q3
99,275,HausWay,British Columbia,British Columbia,,PropertyTech,,,Pre-Seed,2019-08-10,150000,2019,2019 Q3
102,40,Appnovation,British Columbia,British Columbia,,Analytics,"Business Growth Fund, Canadian Business Growth Fund","Business Growth Fund, Canadian Business Growth Fund",Series ?,2019-08-13,15000000,2019,2019 Q3
103,395,Mobify,British Columbia,British Columbia,,eCommerce,,,Series ?,2019-08-14,2000000,2019,2019 Q3
104,721,ZeroKey,Calgary,Alberta,Calgary,iOT,,,Seed,2019-08-15,684451,2019,2019 Q3
105,535,RouteThis,Waterloo,Waterloo Region,,Networks,Round13 Capital,Round13 Capital,Series ?,2019-08-16,3500000,2019,2019 Q3
106,683,viDA Therapeutics,British Columbia,British Columbia,,BioTech,,,Series ?,2019-08-16,26550000,2019,2019 Q3
107,540,SannTek,Waterloo Region,Waterloo Region,,NanoTech,,,Seed,2019-08-19,199035,2019,2019 Q3
108,493,Praemo,Kitchener,Waterloo Region,,AI,McRock Capital,McRock Capital,Series A,2019-08-22,3500000,2019,2019 Q3
110,271,H2nanO,Waterloo,Waterloo Region,,CleanTech,Sustainable Development Technology Canada,Sustainable Development Technology Canada,Series ?,2019-08-23,1700000,2019,2019 Q3
111,309,Interface Fluidics,Calgary,Alberta,Calgary,Analytics,"Equinor Ventures, Techstars","Equinor Ventures, Techstars",Series A,2019-08-27,7961400,2019,2019 Q3
112,213,ePACT Network,British Columbia,British Columbia,,SaaS,,,Series A,2019-08-30,4500000,2019,2019 Q3
113,713,YOURIKA,Waterloo,Waterloo Region,,EdTech,"Amazon Alexa Fund, Techstars","Alexa Accelerator, Powered by Techstars, Amazon Alexa Fund, Drew Green, Globalive Capital, Golden Triangle Angel Network, Jason Maguire, NorthSpring Capital Partners, Rob Henderson, Steven Albiani, Techstars, Two Small Fish Ventures",Seed,2019-08-31,1592280,2019,2019 Q3
114,628,Themis Solutions,British Columbia,British Columbia,,FinTech,,,Series D,2019-09-04,331725000,2019,2019 Q3
115,623,Terramera,British Columbia,British Columbia,,AgTech,Ospraie Ag Sciences,"Ospraie Ag Sciences, S2G Ventures",Series C,2019-09-05,59710500,2019,2019 Q3
116,705,Wize,British Columbia,British Columbia,,EdTech,,,Series ?,2019-09-06,0,2019,2019 Q3
117,149,Communo,Calgary,Alberta,Calgary,AdTech,,,Pre-Seed,2019-09-09,1406514,2019,2019 Q3
118,69,Beatdapp,Vancouver,British Columbia,,SaaS,,New Ventures BC,Seed,2019-09-13,3200000,2019,2019 Q3
119,145,Cold Bore Technology,Calgary,Alberta,Calgary,Analytics,Rice Investment Group,Rice Investment Group,Series ?,2019-09-13,0,2019,2019 Q3
120,172,Dapper Labs,Vancouver,British Columbia,,Blockchain,a16z crypto,"a16z crypto, Digital Currency Group, Warner Music Group",Series ?,2019-09-16,14595900,2019,2019 Q3
121,487,Plum.io,Waterloo,Waterloo Region,,HRTech,Real Ventures,"Real Ventures, SAP.iO, BDC Capital, Impact Engine",Seed,2019-09-17,5572980,2019,2019 Q3
122,655,Trulioo,Vancouver,British Columbia,,FinTech,GS Growth,"American Express Ventures, BDC Capital, Blumberg Capital, Citi Ventures, GS Growth, Mouro Capital",Series C,2019-09-17,70000000,2019,2019 Q3
123,372,Maple Precision,Waterloo,Waterloo Region,,Hardware,Velocity,Velocity,Series ?,2019-09-19,50000,2019,2019 Q3
124,697,Watfly,Waterloo Region,Waterloo Region,,LogisticsTech,Velocity,Velocity,Series ?,2019-09-19,50000,2019,2019 Q3
125,233,Finger Food,British Columbia,British Columbia,,AR,,,Seed,2019-09-19,3500000,2019,2019 Q3
126,595,Stacktronic,Waterloo Region,Waterloo Region,,CleanTech,Velocity,Velocity,Series ?,2019-09-20,50000,2019,2019 Q3
127,671,VEERUM,Calgary,Alberta,Calgary,SaaS,Evok Innovations,Evok Innovations,Series B,2019-09-20,3317250,2019,2019 Q3
128,191,Eavor,Calgary,Alberta,Calgary,CleanTech,,,Series A,2019-09-25,15000000,2019,2019 Q3
129,266,Grobo,Waterloo,Waterloo Region,,FoodTech,,"HAX, SOSV",Seed,2019-09-30,0,2019,2019 Q3
130,10,Acuva,British Columbia,British Columbia,,CleanTech,,,Series B,2019-09-30,1000000,2019,2019 Q3
131,280,FastTask,British Columbia,British Columbia,,Marketplace,,,Series ?,2019-10-03,3317250,2019,2019 Q4
132,654,Trufan,Toronto,Toronto,,MarTech,,,Series ?,2019-10-04,0,2019,2019 Q4
133,459,Ostara,British Columbia,British Columbia,,CleanTech,,,Series ?,2019-10-07,21893850,2019,2019 Q4
134,412,NERv Technology,Kitchener,Waterloo Region,,HealthTech,Sunhope Capital,"Creative Destruction Lab (CDL), Sunhope Capital",Pre-Seed,2019-10-16,1000000,2019,2019 Q4
135,456,Osperity,Calgary,Alberta,Calgary,,,,Seed,2019-10-16,4000000,2019,2019 Q4
136,165,Cuboh,Victoria,British Columbia,,SaaS,Y Combinator,Y Combinator,Seed,2019-08-25,150000,2019,2019 Q3
137,73,Benevity,Calgary,Alberta,Calgary,SaaS,,"General Atlantic, JMI Equity",Series C,2019-10-22,40000000,2019,2019 Q4
138,390,Mikata Health,Calgary,Alberta,Calgary,HealthTech,,,Seed,2019-10-28,700000,2019,2019 Q4
139,341,LabsCubed,Kitchener,Waterloo Region,,Hardware,,,Seed,2019-10-31,1500000,2019,2019 Q4
140,494,Precision Nanosystems,British Columbia,British Columbia,,BioTech,,,Series ?,2019-10-31,7944599,2019,2019 Q4
141,673,Vena Medical,Waterloo,Waterloo Region,,BioTech,,,Series ?,2019-11-04,5971050,2019,2019 Q4
142,164,CTO.ai,Vancouver,British Columbia,,SaaS,"Slack Fund, Tiger Global Management","Jonathan Bixby, Pallasite Ventures, Panache Ventures, Slack Fund, Tiger Global Management, Yaletown Partners",Seed,2019-11-04,9951750,2019,2019 Q4
143,619,Tasktop,Vancouver,British Columbia,,FinTech,,,Series ?,2021-04-08,126000000,2021,2021 Q2
144,303,Ingu Solutions,Calgary,Alberta,Calgary,Analytics,,,Series A,2019-11-04,0,2019,2019 Q4
145,503,Provision Analytics,Calgary,Alberta,Calgary,Analytics,,,Seed,2019-11-06,1960000,2019,2019 Q4
146,660,Two Hat Security,Kelowna,British Columbia,,Analytics,Tam Holdings,"Makers Fund, Tam Holdings, Taubman Capital",Series ?,2019-11-12,9951750,2019,2019 Q4
147,173,Darwin AI,Waterloo,Waterloo Region,,AI,,,Pre-Seed,2019-11-13,174421,2019,2019 Q4
148,123,Charli AI,Vancouver,British Columbia,,AI,"BDC Capital, Yaletown Partners","BDC Capital, Nick Candito, Yaletown Partners",Seed,2019-11-14,1600000,2019,2019 Q4
149,699,Wedge Networks,Calgary,Alberta,Calgary,Analytics,,,Seed,2019-11-18,5214717,2019,2019 Q4
153,115,Casca,British Columbia,British Columbia,,3DTech,"Khosla Ventures, Tobias Lütke","Conconi Growth Partners, Khosla Ventures, Tobias Lütke",Series ?,2019-11-25,4660000,2019,2019 Q4
155,556,TryShift,Victoria,British Columbia,,SaaS,Panache Ventures,"Creative Destruction Lab (CDL), Panache Ventures",Seed,2019-12-04,1000000,2019,2019 Q4
156,633,Thoughtexchange,Rossland,British Columbia,,SaaS,Information Venture Partners,"Espresso Capital, Information Venture Partners, Voyager Capital, Yaletown Partners",Series B,2019-12-05,20000000,2019,2019 Q4
157,718,Zebu Infrastructure Online,Waterloo,Waterloo Region,,TransportationTech,,,Seed,2019-12-06,5307600,2019,2019 Q4
158,524,Riipen,Vancouver,British Columbia,,EdTech,,"ASU ScaleU, Atrium Capital, EduLab Capital Partners, Entangled Group, Reach Capital, SEI Ventures, Strada Education Network, WUTIF",Seed,2019-12-11,5000000,2019,2019 Q4
159,572,SkyWatch,Waterloo,Waterloo Region,,Data,,,Series A,2019-12-13,10000000,2019,2019 Q4
160,456,Osperity,Calgary,Alberta,Calgary,Analytics,,,Series B,2019-12-15,3980700,2019,2019 Q4
161,30,Ambyint,Calgary,Alberta,Calgary,CleanTech,,,Series B,2019-12-15,14595900,2019,2019 Q4
162,261,General Fusion,British Columbia,British Columbia,,CleanTech,Temasek Holdings,"Bezos Expeditions, Braemar Energy Ventures, BDC Capital, Chrysalix Venture Capital, Disruptive Technology Advisers, DLF, Entrepreneurs Fund, Gimv, I2BF Global Ventures, Khazanah Nasional, SET Ventures, Temasek Holdings",Series E,2019-12-16,86248500,2019,2019 Q4
163,684,Vidyard,Waterloo,Waterloo Region,,SaaS,,,Series ?,2019-12-20,15000000,2019,2019 Q4
164,726,MIMOSA Diagnotics,Toronto,Toronto,,HealthTech,,,Seed,2020-01-01,0,2020,2020 Q1
165,65,Battlesnake,Victoria,British Columbia,,Platform,,Good News Ventures,Pre-Seed,2020-01-01,0,2020,2020 Q1
166,23,AlayaCare,Montreal,Quebec,Montreal,HealthTech,,,Series E,2020-01-03,62785300,2020,2020 Q1
167,23,AlayaCare,Montreal,Quebec,Montreal,HealthTech,Caisse de Depot et Placement du Quebec,"Caisse de Depot et Placement du Quebec, Desjardins-Innovatech, Fonds Innovexport, Inovia Capital, Investissement Quebec",Series ?,2020-01-03,47900000,2020,2020 Q1
169,175,Deep Genomics,Toronto,Toronto,,BioTech,Future Ventures,"Amplitude Venture Capital, Future Ventures, Khosla Ventures, Magnetic Ventures, NJF Capital, True Ventures",Series C,2020-01-07,54200000,2020,2020 Q1
170,49,Aspect Biosystems,British Columbia,British Columbia,,BioTech,Radical Ventures,"Pallasite Ventures, Pangaea Ventures, Radical Ventures, Rhino Ventures",Series A,2020-01-08,27100000,2020,2020 Q1
172,365,LQT Therapeutics,Quebec,Quebec,,BioTech,,,Seed,2020-01-08,1800000,2020,2020 Q1
173,83,Blue Lion Labs,Waterloo Region,Waterloo Region,,AgTech,Accelerator Centre,"Accelerator Centre, NEXT Canada, NextAI",Seed,2020-01-09,30000,2020,2020 Q1
174,187,Draft Canada,Waterloo,Waterloo Region,,MarTech,Accelerator Centre,Accelerator Centre,Seed,2020-01-09,40650,2020,2020 Q1
176,645,ToursByLocals,Vancouver,British Columbia,,Marketplace,Tritium Partners,Tritium Partners,Series A,2020-01-13,44715000,2020,2020 Q1
177,417,Nicoya Lifesciences,Waterloo,Waterloo Region,,BioTech,,,Series A,2020-01-14,10000000,2020,2020 Q1
178,243,Fluent.ai,Montreal,Quebec,Montreal,AI,,,Series ?,2020-01-14,2032500,2020,2020 Q1
179,334,Knockri,Toronto,Toronto,,Analytics,,,Seed,2020-01-17,500000,2020,2020 Q1
180,110,Canalyst,Vancouver,British Columbia,,FinTech,,,Series B,2020-01-20,20000000,2020,2020 Q1
181,391,Milestone Pharmaceuticals,Montreal,Quebec,Montreal,BioTech,,,Series ?,2020-01-20,1440376,2020,2020 Q1
182,185,Doorr,Toronto,Toronto,,PropertyTech,,,Seed,2020-01-21,500000,2020,2020 Q1
183,585,Spark Microsystems,Montreal,Quebec,Montreal,Hardware,,,Series ?,2020-01-21,600000,2020,2020 Q1
184,620,Tealbook,Toronto,Toronto,,Data,Refinery Ventures,"BDC Capital, Grand Ventures, Refinery Ventures, StandUp Ventures, Two Small Fish Ventures, Workday Ventures",Seed,2020-01-22,6775000,2020,2020 Q1
185,663,Unito,Montreal,Quebec,Montreal,SaaS,Bessemer Venture Partners,"Bessemer Venture Partners, Hedgewood, Heron Rock Fund, Mistral Venture Partners, Real Ventures, Tom Williams",Series A,2020-01-22,14227500,2020,2020 Q1
186,149,Communo,Calgary,Alberta,Calgary,AdTech,,"Brett Wilson, Frank Palmer, Panache Ventures",Seed,2020-01-23,3403607,2020,2020 Q1
187,564,Simply Benefits,British Columbia,British Columbia,,InsurTech,,,Seed,2020-01-24,1000000,2020,2020 Q1
188,146,Commerce.js,British Columbia,British Columbia,,eCommerce,,,Seed,2020-01-24,2303500,2020,2020 Q1
189,394,Miovision Technologies,Kitchener,Waterloo Region,,Analytics,TELUS Ventures,"ACE & Company, McRock Capital, Sixty Degree Capital, TELUS Ventures",Series C,2020-01-28,120000000,2020,2020 Q1
190,623,Terramera,British Columbia,British Columbia,,AgTech,"Ospraie Ag Sciences, S2G Ventures","ArcTern Ventures, Ospraie Ag Sciences, S2G Ventures",Series B,2020-01-28,59500000,2020,2020 Q1
191,351,Lexop,Montreal,Quebec,Montreal,LegalTech,Anges Quebec,"Anges Quebec, Desjardins Venture Capital",Seed,2020-01-28,1800000,2020,2020 Q1
192,155,Contxtful,Montreal,Quebec,Montreal,SaaS,,,Seed,2020-01-28,2000000,2020,2020 Q1
193,198,Edison Financial,British Columbia,British Columbia,,FinTech,,,Seed,2020-01-29,0,2020,2020 Q1
194,207,eleven-x,Waterloo Region,Waterloo Region,,Analytics,,,Series A,2020-01-30,2660000,2020,2020 Q1
195,548,SemaThera,Montreal,Quebec,Montreal,HealthTech,,,Seed,2020-02-03,700000,2020,2020 Q1
196,72,BenchSci,Toronto,Toronto,,HealthTech,F-Prime Capital,"F-Prime Capital, Golden Ventures, Gradient Ventures, Inovia Capital, Northleaf Capital Partners, Real Ventures",Series B,2020-02-04,29810000,2020,2020 Q1
197,644,Top Hat,Toronto,Toronto,,EdTech,"Georgian, Inovia Capital","Georgian, Inovia Capital, Emergence, Bank of Montreal (BMO), Leaders Fund, Union Square Ventures",Series D,2020-02-04,74525000,2020,2020 Q1
198,226,Fatigue Science,British Columbia,British Columbia,,Wearables,,Rhino Ventures,Series A,2020-02-04,0,2020,2020 Q1
199,30,Ambyint,Calgary,Alberta,Calgary,CleanTech,Montrose Lane (fka Cottonwood Venture Partners),"Mercury Fund, Montrose Lane (fka Cottonwood Venture Partners)",Series ?,2020-02-04,20325000,2020,2020 Q1
200,230,Field Trip Psychedelics,Toronto,Toronto,,HealthTech,,,Series A,2020-02-06,11517500,2020,2020 Q1
201,10,Acuva,British Columbia,British Columbia,,CleanTech,,,Series B,2020-02-06,5400000,2020,2020 Q1
202,244,Fluid Biotech,Calgary,Alberta,Calgary,HealthTech,,"Jacky Chen, Wharton Alumni Angels",Pre-Seed,2020-02-07,1100000,2020,2020 Q1
203,205,Elevate Farms,Toronto,Toronto,,AgTech,Brightspark Ventures,Brightspark Ventures,Seed,2020-02-10,1800000,2020,2020 Q1
204,398,Mojio,Vancouver,British Columbia,,FinTech,,,Series B,2020-02-10,15800000,2020,2020 Q1
205,685,Virtual Gurus,Calgary,Alberta,Calgary,Marketplace,,"Raven Indigenous Capital Partners, The 51 Ventures",Seed,2020-02-10,1250000,2020,2020 Q1
207,248,FORGE Hydrocarbons,Toronto,Toronto,,CleanTech,,"Shell Ventures, Valent Low-Carbon Technologies",Series ?,2020-02-13,0,2020,2020 Q1
208,234,Finn.ai,British Columbia,British Columbia,,FinTech,,,Series ?,2020-02-13,4963875,2020,2020 Q1
209,329,KisoJi Biotechnologie,Montreal,Quebec,Montreal,BioTech,,,Series ?,2020-02-13,6500000,2020,2020 Q1
210,676,Ventus Therapeutics,Montreal,Quebec,Montreal,HealthTech,,,Series A,2020-02-15,84744000,2020,2020 Q1
211,122,ChargeLab,Toronto,Toronto,,iOT,,,Pre-Seed,2020-03-19,1100000,2020,2020 Q1
212,97,Briza,Toronto,Toronto,,InsurTech,,,Seed,2020-02-19,3000000,2020,2020 Q1
213,68,Beanworks,British Columbia,British Columbia,,FinTech,,,Series ?,2020-02-19,5046606,2020,2020 Q1
214,17,AecopaQ,Quebec,Quebec,,GreenTech,,,Seed,2020-02-19,800000,2020,2020 Q1
216,490,PocketPills,Surrey,British Columbia,,HealthTech,WaterBridge Ventures,WaterBridge Ventures,Series A,2020-02-20,9959250,2020,2020 Q1
