id,dealId,companyId,companyName,headquarters,investorId,investorName,leadInvestorFlag,ecosystemName,ecosystemSecondary,date,year,yearQuarter,roundType,investorCountry
41,58,93,Bridgit,Waterloo,301,FedDev,1,Waterloo Region,,2019-05-22,2019,2019 Q2,Series ?,Canada
42,60,38,ApplyBoard,Waterloo,73,Anthos Capital,0,Waterloo Region,,2019-05-27,2019,2019 Q2,Series B,USA
43,60,38,ApplyBoard,Waterloo,79,Artiman Ventures,0,Waterloo Region,,2019-05-27,2019,2019 Q2,Series B,USA
44,60,38,ApplyBoard,Waterloo,358,Golden Ventures,0,Waterloo Region,,2019-05-27,2019,2019 Q2,Series B,Canada
45,60,38,ApplyBoard,Waterloo,794,Think + Ventures,0,Waterloo Region,,2019-05-27,2019,2019 Q2,Series B,USA
46,65,677,Verda,Kitchener,19,Accelerator Centre,0,Waterloo Region,,2019-06-10,2019,2019 Q2,Seed,Canada
47,66,348,Lean Payments,Waterloo,19,Accelerator Centre,1,Waterloo Region,,2019-06-10,2019,2019 Q2,Seed,Canada
48,70,647,Traction Guest,Burnaby,108,Bessemer Venture Partners,1,British Columbia,,2019-06-13,2019,2019 Q2,Series A,USA
49,70,647,Traction Guest,Burnaby,703,Salesforce Ventures,0,British Columbia,,2019-06-13,2019,2019 Q2,Series A,USA
50,75,515,Recover Energy Services,Calgary,104,BDC Capital,1,Alberta,Calgary,2019-06-19,2019,2019 Q2,Series ?,Canada
51,76,497,Procurify,Vancouver,385,HarbourVest Partners,0,British Columbia,,2019-06-20,2019,2019 Q2,Series B,USA
52,76,497,Procurify,Vancouver,424,Information Venture Partners,1,British Columbia,,2019-06-20,2019,2019 Q2,Series B,Canada
53,76,497,Procurify,Vancouver,476,Kensington Capital Partners Limited,0,British Columbia,,2019-06-20,2019,2019 Q2,Series B,Canada
54,76,497,Procurify,Vancouver,524,Manulife Financial,0,British Columbia,,2019-06-20,2019,2019 Q2,Series B,Canada
55,76,497,Procurify,Vancouver,693,Runa Capital,0,British Columbia,,2019-06-20,2019,2019 Q2,Series B,USA
56,79,593,Stabilo Medical,Kitchener,615,Ontario Brain Institute,1,Waterloo Region,,2019-06-28,2019,2019 Q2,Pre-Seed,Canada
57,83,527,Rival Technologies,British Columbia,785,The 51 Ventures,0,British Columbia,,2019-07-16,2019,2019 Q3,Series A,Canada
58,84,697,Watfly,Waterloo Region,839,Velocity,1,Waterloo Region,,2019-07-18,2019,2019 Q3,Pre-Seed,Canada
59,93,52,ATTAbotics,Calgary,186,Coatue,1,Alberta,Calgary,2019-07-30,2019,2019 Q3,Series B,USA
60,93,52,ATTAbotics,Calgary,194,Comcast Ventures,1,Alberta,Calgary,2019-07-30,2019,2019 Q3,Series B,USA
61,93,52,ATTAbotics,Calgary,318,Forerunner Ventures,0,Alberta,Calgary,2019-07-30,2019,2019 Q3,Series B,USA
62,93,52,ATTAbotics,Calgary,404,Honeywell,1,Alberta,Calgary,2019-07-30,2019,2019 Q3,Series B,USA
63,93,52,ATTAbotics,Calgary,860,Werklund Capital,0,Alberta,Calgary,2019-07-30,2019,2019 Q3,Series B,Canada
64,102,40,Appnovation,British Columbia,145,Business Growth Fund,1,British Columbia,,2019-08-13,2019,2019 Q3,Series ?,United Kingdom
65,102,40,Appnovation,British Columbia,152,Canadian Business Growth Fund,1,British Columbia,,2019-08-13,2019,2019 Q3,Series ?,Canada
66,108,493,Praemo,Kitchener,537,McRock Capital,1,Waterloo Region,,2019-08-22,2019,2019 Q3,Series A,Canada
67,110,271,H2nanO,Waterloo,766,Sustainable Development Technology Canada,1,Waterloo Region,,2019-08-23,2019,2019 Q3,Series ?,Canada
68,113,713,YOURIKA,Waterloo,44,Alexa Accelerator,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,USA
70,113,713,YOURIKA,Waterloo,58,Amazon Alexa Fund,1,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,USA
71,113,713,YOURIKA,Waterloo,255,Drew Green,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,Canada
72,113,713,YOURIKA,Waterloo,354,Globalive Capital,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,Canada
73,113,713,YOURIKA,Waterloo,357,Golden Triangle Angel Network,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,Canada
74,113,713,YOURIKA,Waterloo,447,Jason Maguire,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,
75,113,713,YOURIKA,Waterloo,603,NorthSpring Capital Partners,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,Canada
76,113,713,YOURIKA,Waterloo,878,Rob Henderson,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,
77,113,713,YOURIKA,Waterloo,753,Steven Albiani,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,
78,113,713,YOURIKA,Waterloo,774,Techstars,1,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,USA
79,113,713,YOURIKA,Waterloo,818,Two Small Fish Ventures,0,Waterloo Region,,2019-08-31,2019,2019 Q3,Seed,Canada
80,115,623,Terramera,British Columbia,623,Ospraie Ag Sciences,1,British Columbia,,2019-09-05,2019,2019 Q3,Series C,USA
81,115,623,Terramera,British Columbia,700,S2G Ventures,0,British Columbia,,2019-09-05,2019,2019 Q3,Series C,USA
82,118,69,Beatdapp,Vancouver,585,New Ventures BC,0,British Columbia,,2019-09-13,2019,2019 Q3,Seed,Canada
83,119,145,Cold Bore Technology,Calgary,685,Rice Investment Group,1,Alberta,Calgary,2019-09-13,2019,2019 Q3,Series ?,USA
84,120,172,Dapper Labs,Vancouver,13,a16z crypto,1,British Columbia,,2019-09-16,2019,2019 Q3,Series ?,USA
85,120,172,Dapper Labs,Vancouver,242,Digital Currency Group,0,British Columbia,,2019-09-16,2019,2019 Q3,Series ?,USA
86,120,172,Dapper Labs,Vancouver,856,Warner Music Group,0,British Columbia,,2019-09-16,2019,2019 Q3,Series ?,USA
87,122,655,Trulioo,Vancouver,61,American Express Ventures,0,British Columbia,,2019-09-17,2019,2019 Q3,Series C,USA
88,122,655,Trulioo,Vancouver,104,BDC Capital,0,British Columbia,,2019-09-17,2019,2019 Q3,Series C,Canada
89,122,655,Trulioo,Vancouver,122,Blumberg Capital,0,British Columbia,,2019-09-17,2019,2019 Q3,Series C,USA
90,122,655,Trulioo,Vancouver,181,Citi Ventures,0,British Columbia,,2019-09-17,2019,2019 Q3,Series C,USA
91,122,655,Trulioo,Vancouver,379,GS Growth,1,British Columbia,,2019-09-17,2019,2019 Q3,Series C,USA
92,122,655,Trulioo,Vancouver,569,Mouro Capital,0,British Columbia,,2019-09-17,2019,2019 Q3,Series C,United Kingdom
93,123,372,Maple Precision,Waterloo,839,Velocity,1,Waterloo Region,,2019-09-19,2019,2019 Q3,Series ?,Canada
94,124,697,Watfly,Waterloo Region,839,Velocity,1,Waterloo Region,,2019-09-19,2019,2019 Q3,Series ?,Canada
95,126,595,Stacktronic,Waterloo Region,839,Velocity,1,Waterloo Region,,2019-09-20,2019,2019 Q3,Series ?,Canada
96,127,671,VEERUM,Calgary,287,Evok Innovations,1,Alberta,Calgary,2019-09-20,2019,2019 Q3,Series B,Canada
97,129,266,Grobo,Waterloo,392,HAX,0,Waterloo Region,,2019-09-30,2019,2019 Q3,Seed,USA
98,129,266,Grobo,Waterloo,733,SOSV,0,Waterloo Region,,2019-09-30,2019,2019 Q3,Seed,USA
100,134,412,NERv Technology,Kitchener,763,Sunhope Capital,1,Waterloo Region,,2019-10-16,2019,2019 Q4,Pre-Seed,USA
101,137,73,Benevity,Calgary,340,General Atlantic,0,Alberta,Calgary,2019-10-22,2019,2019 Q4,Series C,USA
102,137,73,Benevity,Calgary,458,JMI Equity,0,Alberta,Calgary,2019-10-22,2019,2019 Q4,Series C,USA
103,142,164,CTO.ai,Vancouver,462,Jonathan Bixby,0,British Columbia,,2019-11-04,2019,2019 Q4,Seed,Canada
104,142,164,CTO.ai,Vancouver,626,Pallasite Ventures,0,British Columbia,,2019-11-04,2019,2019 Q4,Seed,USA
105,142,164,CTO.ai,Vancouver,628,Panache Ventures,0,British Columbia,,2019-11-04,2019,2019 Q4,Seed,Canada
106,142,164,CTO.ai,Vancouver,726,Slack Fund,1,British Columbia,,2019-11-04,2019,2019 Q4,Seed,USA
107,142,164,CTO.ai,Vancouver,800,Tiger Global Management,1,British Columbia,,2019-11-04,2019,2019 Q4,Seed,USA
108,142,164,CTO.ai,Vancouver,873,Yaletown Partners,0,British Columbia,,2019-11-04,2019,2019 Q4,Seed,Canada
109,146,660,Two Hat Security,Kelowna,519,Makers Fund,0,British Columbia,,2019-11-12,2019,2019 Q4,Series ?,USA
110,146,660,Two Hat Security,Kelowna,770,Tam Holdings,1,British Columbia,,2019-11-12,2019,2019 Q4,Series ?,USA
111,146,660,Two Hat Security,Kelowna,772,Taubman Capital,0,British Columbia,,2019-11-12,2019,2019 Q4,Series ?,USA
112,148,123,Charli AI,Vancouver,104,BDC Capital,1,British Columbia,,2019-11-14,2019,2019 Q4,Seed,Canada
113,148,123,Charli AI,Vancouver,593,Nick Candito,0,British Columbia,,2019-11-14,2019,2019 Q4,Seed,
114,148,123,Charli AI,Vancouver,873,Yaletown Partners,1,British Columbia,,2019-11-14,2019,2019 Q4,Seed,Canada
115,153,115,Casca,British Columbia,196,Conconi Growth Partners,0,British Columbia,,2019-11-25,2019,2019 Q4,Series ?,Canada
116,153,115,Casca,British Columbia,482,Khosla Ventures,1,British Columbia,,2019-11-25,2019,2019 Q4,Series ?,USA
117,153,115,Casca,British Columbia,803,Tobias Lütke,1,British Columbia,,2019-11-25,2019,2019 Q4,Series ?,Canada
119,155,555,Shift,Toronto,628,Panache Ventures,1,British Columbia,,2019-12-04,2019,2019 Q4,Seed,Canada
120,156,633,Thoughtexchange,Rossland,283,Espresso Capital,0,British Columbia,,2019-12-05,2019,2019 Q4,Series B,Canada
121,156,633,Thoughtexchange,Rossland,424,Information Venture Partners,1,British Columbia,,2019-12-05,2019,2019 Q4,Series B,Canada
122,156,633,Thoughtexchange,Rossland,854,Voyager Capital,0,British Columbia,,2019-12-05,2019,2019 Q4,Series B,USA
123,156,633,Thoughtexchange,Rossland,873,Yaletown Partners,0,British Columbia,,2019-12-05,2019,2019 Q4,Series B,Canada
124,158,524,Riipen,Vancouver,81,ASU ScaleU,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
125,158,524,Riipen,Vancouver,84,Atrium Capital,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
126,158,524,Riipen,Vancouver,266,EduLab Capital Partners,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
127,158,524,Riipen,Vancouver,271,Entangled Group,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
128,158,524,Riipen,Vancouver,670,Reach Capital,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
129,158,524,Riipen,Vancouver,712,SEI Ventures,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
130,158,524,Riipen,Vancouver,755,Strada Education Network,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,USA
131,158,524,Riipen,Vancouver,870,WUTIF,0,British Columbia,,2019-12-11,2019,2019 Q4,Seed,Canada
132,162,261,General Fusion,British Columbia,111,Bezos Expeditions,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,USA
133,162,261,General Fusion,British Columbia,130,Braemar Energy Ventures,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,USA
134,162,261,General Fusion,British Columbia,104,BDC Capital,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,Canada
135,162,261,General Fusion,British Columbia,178,Chrysalix Venture Capital,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,Canada
136,162,261,General Fusion,British Columbia,245,Disruptive Technology Advisers,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,USA
137,162,261,General Fusion,British Columbia,250,DLF Group,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,India
138,162,261,General Fusion,British Columbia,273,Entrepreneurs Fund,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,United Kingdom
139,162,261,General Fusion,British Columbia,350,Gimv,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,Belgium
140,162,261,General Fusion,British Columbia,879,I2BF Global Ventures,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,USA
141,162,261,General Fusion,British Columbia,481,Khazanah Nasional,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,Malaysia
142,162,261,General Fusion,British Columbia,716,SET Ventures,0,British Columbia,,2019-12-16,2019,2019 Q4,Series E,The Netherlands
143,162,261,General Fusion,British Columbia,781,Temasek Holdings,1,British Columbia,,2019-12-16,2019,2019 Q4,Series E,Singapore
144,165,65,Battlesnake,Victoria,360,Good News Ventures,0,British Columbia,,2020-01-01,2020,2020 Q1,Pre-Seed,Canada
145,167,23,AlayaCare,Montreal,147,Caisse de Depot et Placement du Quebec,1,Quebec,Montreal,2020-01-03,2020,2020 Q1,Series ?,Canada
146,167,23,AlayaCare,Montreal,236,Desjardins Capital,0,Quebec,Montreal,2020-01-03,2020,2020 Q1,Series ?,Canada
147,167,23,AlayaCare,Montreal,315,Fonds Innovexport,0,Quebec,Montreal,2020-01-03,2020,2020 Q1,Series ?,Canada
148,167,23,AlayaCare,Montreal,432,Inovia Capital,0,Quebec,Montreal,2020-01-03,2020,2020 Q1,Series ?,Canada
149,167,23,AlayaCare,Montreal,440,Investissement Quebec,0,Quebec,Montreal,2020-01-03,2020,2020 Q1,Series ?,Canada
150,169,175,Deep Genomics,Toronto,64,Amplitude Venture Capital,0,Toronto,,2020-01-07,2020,2020 Q1,Series C,Canada
151,169,175,Deep Genomics,Toronto,334,Future Ventures,1,Toronto,,2020-01-07,2020,2020 Q1,Series C,USA
152,169,175,Deep Genomics,Toronto,482,Khosla Ventures,0,Toronto,,2020-01-07,2020,2020 Q1,Series C,USA
153,169,175,Deep Genomics,Toronto,518,Magnetic Ventures,0,Toronto,,2020-01-07,2020,2020 Q1,Series C,USA
154,169,175,Deep Genomics,Toronto,597,NJF Capital,0,Toronto,,2020-01-07,2020,2020 Q1,Series C,United Kingdom
155,169,175,Deep Genomics,Toronto,814,True Ventures,0,Toronto,,2020-01-07,2020,2020 Q1,Series C,USA
156,170,49,Aspect Biosystems,British Columbia,626,Pallasite Ventures,0,British Columbia,,2020-01-08,2020,2020 Q1,Series A,USA
157,170,49,Aspect Biosystems,British Columbia,629,Pangaea Ventures,0,British Columbia,,2020-01-08,2020,2020 Q1,Series A,Canada
158,170,49,Aspect Biosystems,British Columbia,663,Radical Ventures,1,British Columbia,,2020-01-08,2020,2020 Q1,Series A,Canada
159,170,49,Aspect Biosystems,British Columbia,683,Rhino Ventures,0,British Columbia,,2020-01-08,2020,2020 Q1,Series A,Canada
160,173,83,Blue Lion Labs,Waterloo Region,19,Accelerator Centre,1,Waterloo Region,,2020-01-09,2020,2020 Q1,Seed,Canada
161,173,83,Blue Lion Labs,Waterloo Region,587,NEXT Canada,0,Waterloo Region,,2020-01-09,2020,2020 Q1,Seed,Canada
162,173,83,Blue Lion Labs,Waterloo Region,590,NextAI,0,Waterloo Region,,2020-01-09,2020,2020 Q1,Seed,Canada
163,174,187,Draft Canada,Waterloo,19,Accelerator Centre,1,Waterloo Region,,2020-01-09,2020,2020 Q1,Seed,Canada
164,176,645,ToursByLocals,Vancouver,812,Tritium Partners,1,British Columbia,,2020-01-13,2020,2020 Q1,Series A,USA
165,184,620,Tealbook,Toronto,104,BDC Capital,0,Toronto,,2020-01-22,2020,2020 Q1,Seed,Canada
166,184,620,Tealbook,Toronto,366,Grand Ventures,0,Toronto,,2020-01-22,2020,2020 Q1,Seed,USA
167,184,620,Tealbook,Toronto,675,Refinery Ventures,1,Toronto,,2020-01-22,2020,2020 Q1,Seed,USA
168,184,620,Tealbook,Toronto,746,StandUp Ventures,0,Toronto,,2020-01-22,2020,2020 Q1,Seed,Canada
169,184,620,Tealbook,Toronto,818,Two Small Fish Ventures,0,Toronto,,2020-01-22,2020,2020 Q1,Seed,Canada
170,184,620,Tealbook,Toronto,869,Workday Ventures,0,Toronto,,2020-01-22,2020,2020 Q1,Seed,USA
171,185,663,Unito,Montreal,108,Bessemer Venture Partners,1,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,USA
172,185,663,Unito,Montreal,396,Hedgewood,0,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,Canada
173,185,663,Unito,Montreal,397,Heron Rock Fund,0,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,Canada
174,185,663,Unito,Montreal,560,Mistral Venture Partners,0,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,Canada
175,185,663,Unito,Montreal,671,Real Ventures,0,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,Canada
176,185,663,Unito,Montreal,805,Tom Williams,0,Quebec,Montreal,2020-01-22,2020,2020 Q1,Series A,USA
177,186,149,Communo,Calgary,134,Brett Wilson,0,Alberta,Calgary,2020-01-23,2020,2020 Q1,Seed,Canada
178,186,149,Communo,Calgary,327,Frank Palmer,0,Alberta,Calgary,2020-01-23,2020,2020 Q1,Seed,Canada
179,186,149,Communo,Calgary,628,Panache Ventures,0,Alberta,Calgary,2020-01-23,2020,2020 Q1,Seed,Canada
180,189,394,Miovision Technologies,Kitchener,22,ACE & Company,0,Waterloo Region,,2020-01-28,2020,2020 Q1,Series C,Switzerland
181,189,394,Miovision Technologies,Kitchener,537,McRock Capital,0,Waterloo Region,,2020-01-28,2020,2020 Q1,Series C,Canada
182,189,394,Miovision Technologies,Kitchener,725,Sixty Degree Capital,0,Waterloo Region,,2020-01-28,2020,2020 Q1,Series C,Canada
183,189,394,Miovision Technologies,Kitchener,780,TELUS Ventures,1,Waterloo Region,,2020-01-28,2020,2020 Q1,Series C,Canada
184,190,623,Terramera,British Columbia,77,ArcTern Ventures,0,British Columbia,,2020-01-28,2020,2020 Q1,Series B,Canada
185,190,623,Terramera,British Columbia,623,Ospraie Ag Sciences,1,British Columbia,,2020-01-28,2020,2020 Q1,Series B,USA
186,190,623,Terramera,British Columbia,700,S2G Ventures,1,British Columbia,,2020-01-28,2020,2020 Q1,Series B,USA
187,191,351,Lexop,Montreal,70,Anges Quebec,1,Quebec,Montreal,2020-01-28,2020,2020 Q1,Seed,Canada
188,191,351,Lexop,Montreal,236,Desjardins Capital,0,Quebec,Montreal,2020-01-28,2020,2020 Q1,Seed,Canada
189,196,72,BenchSci,Toronto,293,F-Prime Capital,1,Toronto,,2020-02-04,2020,2020 Q1,Series B,USA
190,196,72,BenchSci,Toronto,358,Golden Ventures,0,Toronto,,2020-02-04,2020,2020 Q1,Series B,Canada
191,196,72,BenchSci,Toronto,365,Gradient Ventures,0,Toronto,,2020-02-04,2020,2020 Q1,Series B,USA
192,196,72,BenchSci,Toronto,432,Inovia Capital,0,Toronto,,2020-02-04,2020,2020 Q1,Series B,Canada
193,196,72,BenchSci,Toronto,602,Northleaf Capital Partners,0,Toronto,,2020-02-04,2020,2020 Q1,Series B,Canada
194,196,72,BenchSci,Toronto,671,Real Ventures,0,Toronto,,2020-02-04,2020,2020 Q1,Series B,Canada
195,197,644,Top Hat,Toronto,96,Bank of Montreal (BMO),0,Toronto,,2020-02-04,2020,2020 Q1,Series D,Canada
196,197,644,Top Hat,Toronto,269,Emergence,0,Toronto,,2020-02-04,2020,2020 Q1,Series D,USA
197,197,644,Top Hat,Toronto,346,Georgian,1,Toronto,,2020-02-04,2020,2020 Q1,Series D,Canada
199,197,644,Top Hat,Toronto,432,Inovia Capital,1,Toronto,,2020-02-04,2020,2020 Q1,Series D,Canada
200,197,644,Top Hat,Toronto,498,Leaders Fund,0,Toronto,,2020-02-04,2020,2020 Q1,Series D,Canada
201,197,644,Top Hat,Toronto,825,Union Square Ventures,0,Toronto,,2020-02-04,2020,2020 Q1,Series D,USA
202,198,226,Fatigue Science,British Columbia,683,Rhino Ventures,0,British Columbia,,2020-02-04,2020,2020 Q1,Series A,Canada
203,199,30,Ambyint,Calgary,543,Mercury Fund,0,Alberta,Calgary,2020-02-04,2020,2020 Q1,Series ?,USA
204,199,30,Ambyint,Calgary,564,Montrose Lane (fka Cottonwood Venture Partners),1,Alberta,Calgary,2020-02-04,2020,2020 Q1,Series ?,USA
205,202,244,Fluid Biotech,Calgary,445,Jacky Chen,0,Alberta,Calgary,2020-02-07,2020,2020 Q1,Pre-Seed,
206,202,244,Fluid Biotech,Calgary,863,Wharton Alumni Angels,0,Alberta,Calgary,2020-02-07,2020,2020 Q1,Pre-Seed,USA
207,203,205,Elevate Farms,Toronto,138,Brightspark Ventures,1,Toronto,,2020-02-10,2020,2020 Q1,Seed,Canada
208,205,685,Virtual Gurus,Calgary,668,Raven Indigenous Capital Partners,0,Alberta,Calgary,2020-02-10,2020,2020 Q1,Seed,Canada
209,205,685,Virtual Gurus,Calgary,785,The 51 Ventures,0,Alberta,Calgary,2020-02-10,2020,2020 Q1,Seed,Canada
210,207,248,FORGE Hydrocarbons,Toronto,719,Shell Ventures,0,Toronto,,2020-02-13,2020,2020 Q1,Series ?,The Netherlands
211,207,248,FORGE Hydrocarbons,Toronto,833,Valent Low-Carbon Technologies,0,Toronto,,2020-02-13,2020,2020 Q1,Series ?,Canada
212,216,490,PocketPills,Surrey,857,WaterBridge Ventures,1,British Columbia,,2020-02-20,2020,2020 Q1,Series A,India
213,221,272,Halion Displays,Kitchener,766,Sustainable Development Technology Canada,1,Waterloo Region,,2020-02-26,2020,2020 Q1,Seed,Canada
214,222,165,Cuboh,Victoria,51,AltaIR Capital,0,British Columbia,,2020-02-26,2020,2020 Q1,Seed,USA
215,222,165,Cuboh,Victoria,222,Dash40 Ventures,0,British Columbia,,2020-02-26,2020,2020 Q1,Seed,Canada
216,222,165,Cuboh,Victoria,360,Good News Ventures,0,British Columbia,,2020-02-26,2020,2020 Q1,Seed,Canada
217,224,354,Life Sciences Key Technologies,Kitchener,832,UTEST,0,Waterloo Region,,2020-02-27,2020,2020 Q1,Pre-Seed,Canada
218,224,354,Life Sciences Key Technologies,Kitchener,839,Velocity,1,Waterloo Region,,2020-02-27,2020,2020 Q1,Pre-Seed,Canada
219,225,689,Vitruvi,Vancouver,384,Harbinger Ventures,1,British Columbia,,2020-02-27,2020,2020 Q1,Series A,USA
220,225,689,Vitruvi,Vancouver,515,Lyra Growth Partners,0,British Columbia,,2020-02-27,2020,2020 Q1,Series A,Canada
221,235,125,Checkfront,Victoria,196,Conconi Growth Partners,0,British Columbia,,2020-03-09,2020,2020 Q1,Series A,Canada
222,235,125,Checkfront,Victoria,323,Framework Venture Partners,1,British Columbia,,2020-03-09,2020,2020 Q1,Series A,Canada
